===== entry =====
0x4f28 -> 0x600849c2  0x600849c2
0x4f2c -> 0x680048c1  0x680048c1
0x4f30 -> 0x31b8f640  0x31b8f640
0x4f34 -> 0xd3e44288  0xd3e44288
0x4f38 -> 0x220a2300  0x220a2300
0x4f3c -> 0xa0bf2103  0xa0bf2103
0x4f40 -> 0xfefcf7fb  0xfefcf7fb
0x4f44 -> 0xe0002000  0xe0002000
0x4f48 -> 0x49bae01f  PERIPH 0x49bae01f
0x4f4c -> 0xe0146008  0xe0146008
0x4f50 -> 0x49b92000  PERIPH 0x49b92000
0x4f54 -> 0xe0046008  0xe0046008
0x4f58 -> 0x680048b7  0x680048b7
0x4f5c -> 0x49b61c40  PERIPH 0x49b61c40
0x4f60 -> 0x48b56008  PERIPH 0x48b56008
0x4f64 -> 0xf5b06800  0xf5b06800
0x4f68 -> 0xd3f56ffa  0xd3f56ffa
0x4f6c -> 0xf964f7fb  0xf964f7fb
0x4f70 -> 0x680048b0  0x680048b0
0x4f74 -> 0x49af1c40  PERIPH 0x49af1c40
0x4f78 -> 0x48ae6008  PERIPH 0x48ae6008
0x4f7c -> 0xf6406800  0xf6406800
0x5000 -> 0x28027800  0x28027800
0x5004 -> 0x4884d10d  PERIPH 0x4884d10d
0x5008 -> 0x28027800  0x28027800
0x500c -> 0x2000d002  FIO 0x2000d002
0x5010 -> 0x7008498d  0x7008498d
0x5014 -> 0x78004880  0x78004880
0x5018 -> 0xd1022802  0xd1022802
0x501c -> 0x498a2001  PERIPH 0x498a2001
0x5020 -> 0xf7fc7008  0xf7fc7008
0x5024 -> 0x497cfdb8  PERIPH 0x497cfdb8
0x5028 -> 0x487c7008  PERIPH 0x487c7008
0x502c -> 0xbb086800  0xbb086800
0x5030 -> 0x78004608  0x78004608
0x5034 -> 0xd11d2802  0xd11d2802
0x5038 -> 0x78004884  0x78004884
0x503c -> 0x2001b9d0  FIO 0x2001b9d0
0x5040 -> 0x70084983  0x70084983
0x5044 -> 0x49702000  PERIPH 0x49702000
0x5048 -> 0x20017008  FIO 0x20017008
0x504c -> 0x70084975  0x70084975
0x5050 -> 0x49752000  PERIPH 0x49752000
0x5054 -> 0x487f7008  PERIPH 0x487f7008
0x5058 -> 0xb9487800  0xb9487800
0x505c -> 0x220a2300  0x220a2300
0x5060 -> 0xf6af2103  0xf6af2103
0x5064 -> 0xf7fb007c  0xf7fb007c
0x5068 -> 0x2001fe69  FIO 0x2001fe69
